model	name	run	prompt_tps	decode_tps	prompt_tokens
Qwen3-8B-Q4_K_M.gguf	prose_01	2	839,0	99,0	0
Qwen3-8B-Q4_K_M.gguf	prose_01	3	840,5	98,9	0
Qwen3-8B-Q4_K_M.gguf	prose_02	1	780,4	99,1	0
Qwen3-8B-Q4_K_M.gguf	prose_02	2	786,8	99,0	0
Qwen3-8B-Q4_K_M.gguf	prose_02	3	791,6	98,8	0
Qwen3-8B-Q4_K_M.gguf	prose_03	1	834,9	99,1	0
Qwen3-8B-Q4_K_M.gguf	prose_03	2	835,5	99,1	0
Qwen3-8B-Q4_K_M.gguf	prose_03	3	824,5	99,2	0
Qwen3-8B-Q4_K_M.gguf	prose_04	1	728,1	99,1	0
Qwen3-8B-Q4_K_M.gguf	prose_04	2	743,3	97,7	0
Qwen3-8B-Q4_K_M.gguf	prose_04	3	728,5	97,9	0
Qwen3-8B-Q4_K_M.gguf	prose_05	1	861,2	98,0	0
Qwen3-8B-Q4_K_M.gguf	prose_05	2	859,0	98,3	0
Qwen3-8B-Q4_K_M.gguf	prose_05	3	859,0	97,6	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	chat_01	1	1359,1	103,8	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	chat_01	2	1375,7	103,8	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	chat_01	3	1377,0	104,0	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	chat_02	1	1414,2	103,9	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	chat_02	2	1414,5	104,0	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	chat_02	3	1409,0	104,0	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	chat_03	1	1366,8	104,0	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	chat_03	2	1375,4	103,8	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	chat_03	3	1386,4	104,0	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	chat_04	1	1423,5	103,9	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	chat_04	2	1424,5	103,9	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	chat_04	3	1389,7	103,3	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	chat_05	1	1390,6	102,6	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	chat_05	2	1391,6	103,8	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	chat_05	3	1405,1	103,6	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	code_01	1	1494,1	103,8	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	code_01	2	1507,7	103,6	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	code_01	3	1498,5	103,2	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	code_02	1	1428,2	103,4	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	code_02	2	1455,5	103,4	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	code_02	3	1452,6	103,6	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	code_03	1	1667,5	103,7	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	code_03	2	1616,2	103,4	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	code_03	3	1665,1	103,7	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	code_04	1	1405,0	103,6	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	code_04	2	1398,6	103,7	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	code_04	3	1407,7	103,6	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	code_05	1	1462,8	103,8	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	code_05	2	1462,5	103,7	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	code_05	3	1465,5	103,7	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	prose_01	1	1400,8	103,7	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	prose_01	2	1394,7	103,7	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	prose_01	3	1398,7	103,5	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	prose_02	1	1302,5	103,7	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	prose_02	2	1317,3	103,7	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	prose_02	3	1329,6	104,0	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	prose_03	1	1404,3	103,8	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	prose_03	2	1426,3	103,2	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	prose_03	3	1420,0	103,8	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	prose_04	1	1301,1	103,6	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	prose_04	2	1282,8	103,8	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	prose_04	3	1299,0	103,8	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	prose_05	1	1425,9	103,7	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	prose_05	2	1435,9	103,7	0
Meta-Llama-3.1-8B-Instruct-Q4_K_M.gguf	prose_05	3	1426,2	103,8	0
